"30","Rua Duque de Caxias, 1005; em frente ao Palácio Pir","-51.23058711911847","-30.03335683774153","2","1","1","1","1","1","1","1","1","3","2011-05-11",NULL,"201745",NULL,NULL,"AAE","CENTRO","1","PCDs"
"31","Rua Duque de Caxias, DF ao n° 1005","-51.231353499370925","-30.033328206343125","1","1","1","1","1","1","1","1","1","3","2010-02-09",NULL,"188682",NULL,NULL,"AAE","CENTRO","1","PCDs"
"32","Rua Washington Luiz, n° 855","-51.23158790485877","-30.036940208936873","1","1","1","1","1","1","1","1","1","3","2013-01-08",NULL,"226103",NULL,NULL,NULL,"CENTRO","1","PCDs"
"33","Rua Cel. Genuíno, n° 130","-51.226717090213015","-30.035241793324495","1","1","1","1","1","1","1","1","1","3","2013-03-22",NULL,"239771",NULL,NULL,"AAE","CENTRO","1","PCDs"
"34","Rua Duque de Caxias, n° 1475","-51.226487217790975","-30.033543882724967","1","1","1","1","1","1","1","1","1","3","2014-08-14",NULL,"249897",NULL,NULL,NULL,"CENTRO","1","PCDs"
"35","Rua dos Andradas, em frente ao Mário Quintana","-51.2341464375412","-30.031478736715343","1","1","1","1","1","1","1","1","1","3","2012-11-23",NULL,"235228",NULL,NULL,NULL,"CENTRO","1","PCDs"
"36","Rua dos Andradas DF ao 943 x Rua Caldas Jr.","-51.2326528920654","-30.03087624070717","1","1","1","1","1","1","1","1","1","3","2012-11-23",NULL,"251474",NULL,NULL,"AAE","CENTRO","1","PCDs"
"37","Rua Riachuelo x Largo João Amorim de Alboquerque","-51.22970586627048","-30.031572205987324","1","1","1","1","1","1","1","1","1","3","2013-03-13",NULL,"227171",NULL,NULL,"AAE","CENTRO","1","PCDs"
"38","Av. Osvaldo Aranha, n° 99 (em frente a UFRGS)","-51.22134693612213","-30.032063910231255","1","1","1","1","1","1","1","1","1","3","2013-01-18",NULL,"215967",NULL,NULL,"AAE","CENTRO","1","PCDs"
"39","Rua Duque de Caxias, n° 657","-51.235012386511016","-30.033969915145633","1","1","1","1","1","1","1","1","1","3","2013-07-16",NULL,"233406",NULL,NULL,NULL,"CENTRO","1","PCDs"
"40","Rua Gen. Vitorino 64 x Rua Vigário José Ináci","-51.226017324802456","-30.030329026759627","1","1","1","1","1","1","1","1","1","3","2012-12-11",NULL,"218529",NULL,NULL,"AAE","CENTRO","1","PCDs"
"41","Rua Vigário José Inácio x Rua dos Andradas","-51.22571174801328","-30.029642430657745","1","1","1","1","1","1","1","1","1","3","2013-07-22",NULL,"234298",NULL,NULL,NULL,"CENTRO","1","PCDs"
"42","Rua Gen. Vitorino x Rua Mal. Floriano Peixoto","-51.22671741433146","-30.030272301422638","1","1","1","1","1","1","1","1","1","3","2012-12-11",NULL,"218529",NULL,NULL,"AAE","CENTRO","1","PCDs"
"43","Rua 7 de Setembro, n° 713","-51.233274838695706","-30.03032009094493","1","1","1","1","1","1","1","1","1","3","2014-04-23",NULL,"250621",NULL,NULL,"AAE","CENTRO","1","PCDs"
"44","Av. Alberto Bins, n° 404","-51.22262177042006","-30.02811898866979","1","1","1","1","1","1","1","1","1","3","2014-09-01",NULL,"246357",NULL,NULL,"AAE","CENTRO","1","PCDs"
"45","Rua Demétrio Ribeiro x Av. Borges de Medeiros","-51.2283538773155","-30.036116966046173","1","1","1","1","1","1","1","1","1","3","2014-08-05",NULL,"259258",NULL,NULL,"AAE","CENTRO","1","PCDs"
"46","Rua Capitão Montanha (Centro Saúde Sta Marta)","-51.232339180217764","-30.028589799395505","1","1","1","1","1","1","1","1","1","3","2002-12-02",NULL,"119539",NULL,NULL,"AAE","CENTRO","1","PCDs"
"47","Rua Washington Luiz 1094 (em frente sede OAB)","-51.229072249637625","-30.03757922059454","1","1","1","1","1","1","1","1","1","3","2013-01-08",NULL,"226103",NULL,NULL,"AAE","CENTRO","1","PCDs"
"49","Rua Lobo da Costa 308","-51.21532714351656","-30.04292889542329","1","1","1","2","2","1","2","1","1","3","2013-02-19",NULL,"227848",NULL,NULL,NULL,"CIDADE BAIXA","1","PCDs"
"50","Rua da República, 441","-51.22397903802869","-30.03890804876453","1","1","3","3","3","3","5","4","5","3","2011-02-05",NULL,"200143",NULL,NULL,NULL,"CIDADE BAIXA","1","PCDs"
"51","Trav. do Carmo 135","-51.22567804662708","-30.03791461352756","1","1","3","3","3","3","5","4","5","3","1998-11-05",NULL,"81710",NULL,NULL,NULL,"CIDADE BAIXA","1","PCDs"
"52","Av. José Bonifácio 245","-51.21467437301635","-30.039040000000007","1","1","3","3","3","3","5","4","5","3","2012-07-24",NULL,"222234",NULL,NULL,"AAE","FARROUPILHA","1","PCDs"
"53","Av. José Bonifácio 363","-51.21360696808813","-30.038409814504096","1","1","3","3","3","3","5","4","5","3","2009-07-10",NULL,"182337",NULL,NULL,"AAE","FARROUPILHA","1","PCDs"
"54","Av. José Bonifácio 595","-51.21152557158473","-30.037145397933404","1","1","3","3","3","3","5","4","5","3","2010-03-03","0000-00-00","186488",,,"AAE","FARROUPILHA","1","PCDs"
"55"," Largo Doutor José Faibes Lubianca","-51.21109","-30.03621","1","1","3","3","3","3","5","4","5","3","2014-01-24",NULL,"244387",NULL,NULL,"AAE","BOM FIM","1","PCDs"
